ID,birthdate,sex_at_birth,country,environment,SES
P00001,1987-06-27,Male,Canada,Urban,low
P00002,1995-06-09,Female,Fiji,Urban,low
P00003,2006-06-08,Female,United States,Rural,medium
P00004,1984-06-05,Female,South Africa,Urban,medium
P00005,2005-03-01,Male,Germany,Rural,low
P00006,1981-12-22,Male,Fiji,Urban,low
P00007,2002-01-30,Female,Argentina,Urban,low
P00008,1991-10-29,Male,South Africa,Urban,low
P00009,2008-08-21,Female,Japan,Rural,low
P00010,2005-11-21,Female,Canada,Urban,low
P00011,1995-10-17,Female,Canada,Urban,high
P00012,1983-07-21,Female,Nigeria,Urban,medium
P00013,2006-02-27,Female,Brazil,Urban,medium
P00014,2008-12-11,Female,United States,Urban,medium
P00015,1996-06-07,Female,India,Rural,low
P00016,1991-12-16,Female,India,Urban,medium
P00017,2005-10-13,Male,Brazil,Urban,low
P00018,1981-09-16,Male,Japan,Rural,medium
P00019,1995-11-17,Female,United Kingdom,Rural,high
P00020,1982-04-26,Female,China,Rural,low
P00021,2001-01-21,Female,Mexico,Rural,medium
P00022,2004-03-31,Female,Japan,Urban,low
P00023,1987-09-20,Female,Colombia,Urban,medium
P00024,2005-09-19,Female,Egypt,Urban,medium
P00025,2006-02-12,Female,South Africa,Rural,medium
P00026,2002-04-29,Male,China,Urban,low
P00027,1995-12-21,Male,China,Rural,high
P00028,1998-05-12,Female,Brazil,Urban,medium
P00029,2007-08-24,Male,Brazil,Urban,medium
P00030,1987-03-24,Male,Brazil,Urban,medium
P00031,1987-12-27,Male,Brazil,Rural,medium
P00032,1982-12-28,Female,New Zealand,Urban,high
P00033,1983-08-03,Male,Brazil,Urban,low
P00034,1982-09-18,Female,Mexico,Urban,medium
P00035,1992-12-06,Male,Brazil,Urban,medium
P00036,1998-11-21,Male,Brazil,Urban,high
P00037,1984-10-27,Male,Mexico,Urban,medium
P00038,1995-01-10,Female,Egypt,Rural,high
P00039,1988-09-18,Female,Colombia,Rural,high
P00040,2006-03-17,Male,Nigeria,Urban,medium
P00041,1982-06-01,Female,Brazil,Urban,high
P00042,2003-07-09,Male,Colombia,Urban,low
P00043,1983-08-03,Female,Argentina,Urban,low
P00044,1981-04-13,Female,Brazil,Urban,low
P00045,1995-08-23,Male,Australia,Urban,medium
P00046,2000-07-25,Female,Australia,Urban,low
P00047,2007-02-18,Male,United Kingdom,Rural,medium
P00048,1985-08-20,Male,United Kingdom,Urban,medium
P00049,1992-06-03,Female,New Zealand,Urban,low
P00050,1997-02-22,Male,United States,Urban,medium
P00051,1996-05-12,Male,Germany,Urban,medium
P00052,1990-11-28,Male,Australia,Urban,medium
P00053,1981-01-16,Male,Brazil,Urban,medium
P00054,1995-11-28,Male,Colombia,Urban,medium
P00055,1983-09-15,Female,Egypt,Urban,high
P00056,2002-05-20,Female,Japan,Urban,low
P00057,2003-08-27,Male,Canada,Urban,medium
P00058,2005-12-06,Female,New Zealand,Urban,medium
P00059,1987-06-02,Male,China,Urban,medium
P00060,1981-05-29,Female,Australia,Urban,medium
P00061,2000-07-19,Female,Japan,Rural,low
P00062,1996-07-29,Male,Canada,Urban,medium
P00063,1981-04-10,Male,South Africa,Urban,high
P00064,1987-06-04,Male,Brazil,Urban,medium
P00065,1987-09-16,Female,China,Rural,high
P00066,1981-04-01,Male,United States,Urban,medium
P00067,1999-12-17,Female,Brazil,Urban,low
P00068,2001-02-13,Female,Nigeria,Urban,low
P00069,1995-03-02,Male,Fiji,Urban,medium
P00070,2000-02-25,Male,Japan,Rural,low
P00071,1994-03-09,Male,United States,Urban,medium
P00072,1997-02-03,Male,Australia,Urban,low
P00073,2007-01-05,Female,Fiji,Urban,low
P00074,2008-07-26,Male,Colombia,Urban,medium
P00075,1999-07-27,Male,United Kingdom,Urban,medium
P00076,2004-08-06,Male,Germany,Urban,medium
P00077,1999-01-12,Female,United Kingdom,Rural,medium
P00078,1995-04-29,Male,Germany,Urban,medium
P00079,1993-10-24,Female,Canada,Urban,high
P00080,2001-05-28,Female,Germany,Rural,medium
P00081,1983-08-09,Male,Australia,Rural,medium
P00082,2003-03-08,Female,India,Rural,medium
P00083,2007-08-21,Male,Mexico,Urban,low
P00084,1995-05-28,Female,Canada,Urban,low
P00085,1986-04-09,Female,Nigeria,Rural,medium
P00086,1993-01-24,Male,New Zealand,Urban,medium
P00087,1988-10-29,Female,Canada,Rural,medium
P00088,2007-10-01,Female,India,Urban,low
P00089,1994-04-18,Male,China,Urban,medium
P00090,1986-03-04,Male,Germany,Urban,medium
P00091,2006-12-02,Female,South Africa,Urban,high
P00092,1985-08-20,Male,Fiji,Rural,medium
